source_id,model,category,token_count,score,output_chars,duration_s
575c269c2a40911e,gpt-oss:latest,Siphon,90836,0.0,2772,4.6914
57a805370ea0737e,gpt-oss:latest,Siphon,598,1.0,1869,0.5079
57f538fc8d639dba,gpt-oss:latest,BillSum,3292,0.8,3065,0.9236
5849457e28d2dd47,gpt-oss:latest,Siphon,84166,0.0,3887,6.3116
58f88770f6aded5c,gpt-oss:latest,ArXiv,12078,0.0,368,0.6865
5a3f6d0545f4df77,gpt-oss:latest,Siphon,168271,0.2,2202,0.2654
5a4ad8682359eb86,gpt-oss:latest,ArXiv,28080,0.0,3204,0.7987
5a7fae1db3eaf41d,gpt-oss:latest,BookSum,40582,0.0,1045,1.4679
5b9a72563d14a2e3,gpt-oss:latest,GovReport,7237,0.0,115,0.9888
5dafb48fe93f0a2e,gpt-oss:latest,Siphon,103375,0.2,730,0.1253
60740bd3b82c478e,gpt-oss:latest,Siphon,115562,0.0,848,0.4071
6109b5c8544db89e,gpt-oss:latest,Siphon,32597,0.0,5316,1.1568
61740f98a6d09f53,gpt-oss:latest,BookSum,2472,0.6,900,0.5672
6530c89657cfb4df,gpt-oss:latest,Siphon,76775,0.0,7121,2.6888
658b4bf748124550,gpt-oss:latest,GovReport,12846,0.2,2925,0.809
6c0b1e7f7de25467,gpt-oss:latest,Siphon,762,0.8,946,0.6151
6e7bce3c71a5a346,gpt-oss:latest,ArXiv,24226,0.2,3466,1.1353
6e9d503c40339dfd,gpt-oss:latest,BillSum,1129,0.9,1140,0.8507
6f380c4197aa3761,gpt-oss:latest,BookSum,2691,0.4,1158,0.7197
6f49de98e931e84b,gpt-oss:latest,Siphon,59724,0.0,3286,1.6956
6f6cc4585849811f,gpt-oss:latest,Siphon,73505,0.0,3059,3.0051
711ab192b0e0ad38,gpt-oss:latest,Siphon,177092,0.0,1104,0.4098
732a9f485d90599c,gpt-oss:latest,BookSum,2933,0.2,1905,0.7235
757ca0cd7d1e3dd3,gpt-oss:latest,BookSum,1880,0.6,1974,0.7431
75bebcdea7ad2b84,gpt-oss:latest,ArXiv,7906,0.8,10010,0.8763
76bd73e58e51bdcc,gpt-oss:latest,GovReport,9346,0.4,1423,0.9766
76c692a42b95b7b1,gpt-oss:latest,BookSum,3647,0.2,1161,0.7507
7732fbb500ec06a3,gpt-oss:latest,BillSum,3628,0.6,3572,0.7922
77a98f2d0b4c33d2,gpt-oss:latest,BookSum,5332,0.0,503,1.1653
77e0b26d6be488ca,gpt-oss:latest,Siphon,24443,0.2,7749,1.0785
781b5bb2afb78c18,gpt-oss:latest,GovReport,7117,0.0,3167,0.9721
7888c4134cc98bc6,gpt-oss:latest,Siphon,39089,0.0,10965,1.796
7a1e007350f59527,gpt-oss:latest,GovReport,21443,0.0,237,1.0613
7baed1f1f71e323a,gpt-oss:latest,Siphon,70057,0.0,80,4.0823
7c180ccb51507a6b,gpt-oss:latest,BillSum,3322,0.9,2856,0.6687
7c2057e4cb777482,gpt-oss:latest,WikiHow,593,0.8,1259,0.4554
7ca2a2ba98e8ba8b,gpt-oss:latest,GovReport,2495,1.0,3781,0.6846
7d5ecffbf9fc8378,gpt-oss:latest,ArXiv,39665,0.0,3880,0.9936
7d690486a9516776,gpt-oss:latest,BookSum,2056,0.8,2415,0.754
7fc40884ed2de9a9,gpt-oss:latest,Siphon,166892,0.0,381,0.2175
816693302331e005,gpt-oss:latest,BookSum,60629,0.0,5834,1.5537
82eae29747e859c5,gpt-oss:latest,BookSum,3448,0.2,2519,0.8131
8477a4927f2e98ba,gpt-oss:latest,ArXiv,6438,0.0,167,1.1798
896a1863dd0562b6,gpt-oss:latest,BookSum,2098,0.2,2064,0.7338
8a994897a17d8633,gpt-oss:latest,BookSum,940,0.4,1414,0.6734
8ebc4c9e210a22f8,gpt-oss:latest,ArXiv,7576,0.0,1780,0.8503
8ec0931590a4871d,gpt-oss:latest,BookSum,5138,0.0,1346,0.9807
8f8766c2304b7f80,gpt-oss:latest,Siphon,698,1.0,1537,0.6311
903381274ce57bd1,gpt-oss:latest,Siphon,29985,0.4,8789,0.8451
90a1b78cc415388d,gpt-oss:latest,BillSum,3265,0.8,3804,0.9217
913fc11397eea3bc,gpt-oss:latest,PubMed,665,1.0,1286,0.4497
91f9bca1699c6c26,gpt-oss:latest,BookSum,4361,0.4,948,1.0772
927fdd5d68a13c76,gpt-oss:latest,ArXiv,5158,0.0,431,1.1041
92e98ba798830108,gpt-oss:latest,Siphon,33377,0.2,744,1.0843
93b1efb9b0190a90,gpt-oss:latest,BillSum,1521,1.0,2995,0.6238
947e4610d64a8916,gpt-oss:latest,PubMed,1194,0.8,1206,0.6854
986285ce2700d8a6,gpt-oss:latest,GovReport,17503,0.0,4102,1.142
9abd149f6b150fc0,gpt-oss:latest,Siphon,782,1.0,1728,0.7098
9c3549642901c7e1,gpt-oss:latest,BillSum,2324,1.0,1814,0.7904
9d01de1c463b0fbb,gpt-oss:latest,Siphon,2132,1.0,4408,0.679
9f36246edafc9871,gpt-oss:latest,Siphon,138902,0.0,1863,0.2681
a2a1bf0800e76a45,gpt-oss:latest,Siphon,49594,0.0,38,1.5172
a3d9bc4c3eeee68c,gpt-oss:latest,GovReport,14996,0.0,7952,1.1845
a5bea2c6a345eb2b,gpt-oss:latest,BookSum,2021,0.6,846,0.6579
a77d7de7a45d464b,gpt-oss:latest,PubMed,5323,0.6,2733,1.0416
a91421549f5624aa,gpt-oss:latest,BillSum,1877,1.0,2781,0.7508
a96d9a6d1362e443,gpt-oss:latest,BookSum,1572,0.6,1313,0.71
aa56b83051de4c93,gpt-oss:latest,Siphon,739,1.0,932,0.6543
ad1d0c2c3f760339,gpt-oss:latest,BookSum,26010,0.0,13999,0.9181
ad9e46ff443202ed,gpt-oss:latest,Siphon,39521,0.2,4067,1.4648
adeafd1c9f56022c,gpt-oss:latest,BookSum,12955,0.0,646,0.7843
aebfaeb53a59f2d0,gpt-oss:latest,BookSum,15063,0.0,657,0.9512
b05bd40ee63cec42,gpt-oss:latest,PubMed,4371,0.6,6361,1.1524
b2393b52ce6c4f8c,gpt-oss:latest,BookSum,1088,0.2,1424,0.9132
b30452d4d37551ea,gpt-oss:latest,GovReport,12597,0.2,5640,0.755
b466b772db978b61,gpt-oss:latest,Siphon,18747,0.0,7955,0.9418
b48156ea8c0a4912,gpt-oss:latest,BookSum,8825,0.0,837,0.8134
b785ceb18735e949,gpt-oss:latest,Siphon,98760,0.0,625,5.9617
b86d814dda4f6836,gpt-oss:latest,PubMed,5952,0.0,59,1.204
