source_id,oneshot_model,map_model,category,token_count,score,output_chars,duration_s
37a3042103b40d4d,gemma4:latest,gpt-oss:latest,Siphon,92058,0.0,1773,2.2108
575c269c2a40911e,gemma4:latest,gpt-oss:latest,Siphon,90836,0.0,1275,4.6818
b785ceb18735e949,gemma4:latest,gpt-oss:latest,Siphon,98760,0.0,818,4.2138
5849457e28d2dd47,gemma4:latest,gpt-oss:latest,Siphon,84166,0.0,1523,4.5502
224726bec5c26d23,gemma4:latest,gpt-oss:latest,Siphon,129487,0.2,1103,0.5795
fa6fa9360b97a854,gemma4:latest,gpt-oss:latest,Siphon,129213,0.2,485,0.4695
30f2b3fe9afa1dd8,gemma4:latest,gpt-oss:latest,Siphon,119122,0.0,1694,0.3119
b898e8d9b0706765,gemma4:latest,gpt-oss:latest,Siphon,127810,0.0,2520,0.2297
e0747c2debe92a1d,gemma4:latest,gpt-oss:latest,Siphon,146639,0.0,481,0.4035
d52a472083d5483b,gemma4:latest,gpt-oss:latest,Siphon,126332,0.0,113,0.3401
d6147259174b6314,gemma4:latest,gpt-oss:latest,Siphon,126203,0.2,2447,0.2337
9f36246edafc9871,gemma4:latest,gpt-oss:latest,Siphon,138902,0.0,2418,0.2708
0fb47e118eaf9c6d,gemma4:latest,gpt-oss:latest,Siphon,145511,0.0,675,0.4996
60740bd3b82c478e,gemma4:latest,gpt-oss:latest,Siphon,115562,0.0,613,0.3749
7fc40884ed2de9a9,gemma4:latest,gpt-oss:latest,Siphon,166892,0.0,1265,0.2278
fad0a472a2d38928,gemma4:latest,gpt-oss:latest,Siphon,167816,0.0,2346,0.583
c3aea7ad81394c57,gemma4:latest,gpt-oss:latest,Siphon,166923,0.0,1483,0.4226
49c4153a2663c281,gemma4:latest,gpt-oss:latest,Siphon,181458,0.0,370,0.5221
5a3f6d0545f4df77,gemma4:latest,gpt-oss:latest,Siphon,168271,0.2,2471,0.2234
e5e0aa2e7ba6b380,gemma4:latest,gpt-oss:latest,Siphon,151340,0.0,2865,0.2166
711ab192b0e0ad38,gemma4:latest,gpt-oss:latest,Siphon,177092,0.0,1183,0.4165
45e0a7c13fe243ac,gemma4:latest,gpt-oss:latest,Siphon,167743,0.0,1099,0.359
26562bc95f29d0e7,gemma4:latest,gpt-oss:latest,Siphon,174536,0.2,1003,0.447
f73caa8624fffbaf,gemma4:latest,gpt-oss:latest,Siphon,179632,0.0,1544,0.5152
