strategy,model,config_id,source_id,category,token_count,score,output_chars,duration_s
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1e549964b0d1ffb3,Siphon,650,0.8,2370,0.0634
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1f1a08b291f9ff92,BookSum,4484,0.4,1635,0.1122
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,224726bec5c26d23,Siphon,129487,0.0,3075,37.0793
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,26562bc95f29d0e7,Siphon,174536,0.2,2657,56.4859
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,20b0bbf1c1e7b842,BookSum,835,0.4,1343,0.0642
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,2aed9f5ceb0d4ef5,Siphon,93927,0.2,1533,18.5774
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,29fbe5b2a9cdcbd1,BookSum,1652,0.6,2231,0.1799
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,269c15d175b31c53,ArXiv,6689,0.8,3525,0.1398
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,2fdb74a46e6c6164,Siphon,38983,0.0,1373,5.5221
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,2c17d50233c19bfe,Siphon,49489,0.4,2261,20.0198
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,30f2b3fe9afa1dd8,Siphon,119122,0.2,4343,36.1232
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,31c6b3277cd42ea1,Siphon,789,0.8,1822,0.0725
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,3052d859aa2275aa,GovReport,14575,0.8,4332,6.8336
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,348720498ac46980,Siphon,94646,0.2,3228,24.3703
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,3345ef955c76a87d,BookSum,37118,0.2,2431,18.6692
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,37a3042103b40d4d,Siphon,92058,0.2,2783,29.7078
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,2efb01a28bf80931,BookSum,8482,0.6,2445,0.1435
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,2b7f09404acf6db7,GovReport,26243,0.6,4285,11.2845
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,37ede2181d67b068,Siphon,748,1.0,2240,0.0671
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,3e7889d6260c53ba,Siphon,26861,0.8,6241,19.6573
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,373a4663b87fc0f2,ArXiv,14191,0.6,4749,7.0897
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,3f9f00be54ca44ff,Siphon,1539,0.8,2516,0.113
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,3cb7d5d442bca0be,ArXiv,10264,0.8,3179,0.1001
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,4140c397caa5bb5c,Siphon,1094,0.6,2754,0.098
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,45e0a7c13fe243ac,Siphon,167743,0.2,2842,112.1402
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,3fee926e3411eb82,BookSum,5463,0.6,2092,0.1152
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,476cb804440b06c2,Siphon,44972,0.0,658,4.7578
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,423c4ea171279761,GovReport,10255,0.8,4134,0.0837
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,445be14601e8bbb4,GovReport,16710,0.6,5411,9.1355
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,467a66e3a5d1e345,BookSum,3781,0.6,1730,0.1216
